year,awi_growth,cpi_growth
1960,3.31,1.71
1961,1.42,1.01
1962,4.68,1
1963,2.89,1.32
1964,4.64,1.3
1965,2.51,1.6
1966,5.69,2.84
1967,5.49,3.07
1968,6.39,4.17
1969,6.73,5.43
1970,4.94,5.69
1971,4.71,4.36
1972,7.27,3.44
1973,6.85,6.18
1974,7.4,10.96
1975,6.71,9.07
1976,8.49,5.73
1977,6.74,6.47
1978,12.96,7.72
1979,9.3,11.43
1980,7.04,13.41
1981,9.97,10.25
1982,6.77,6.02
1983,4.4,2.99
1984,6.63,3.51
1985,4.94,3.48
1986,4.88,1.59
1987,4.39,3.59
1988,5.35,4
1989,4.04,4.79
1990,5.31,5.22
1991,2.88,4.11
1992,4.91,2.9
1993,1.95,2.82
1994,3.35,2.46
1995,4.65,2.88
1996,3.96,2.87
1997,5.62,2.27
1998,6.06,1.33
1999,4.84,2.19
2000,6.08,3.49
2001,1.93,2.72
2002,0.69,1.38
2003,2.49,2.22
2004,4.69,2.61
2005,3.69,3.52
2006,4.72,3.19
2007,4.5,2.88
2008,2.42,4.09
2009,-1.56,-0.67
2010,2.59,2.07
2011,3.15,3.56
2012,3.33,2.1
2013,1.23,1.37
2014,3.61,1.5
2015,3.38,-0.41
2016,1.29,0.98
2017,3.48,2.13
2018,3.65,2.55
2019,3.66,1.66
2020,2.79,1.21
2021,9.04,5.26
2022,5.65,8.46
2023,3.85,3.86
2024,3.78,2.76
2025,3.54,2.32
2026,3.98,2.4
2027,4.26,2.4
2028,4.6,2.4
2029,4.4,2.4
2030,4.33,2.4
2031,4.37,2.4
2032,4.39,2.4
2033,4,2.4
2034,3.66,2.4
2035,3.65,2.4
2036,3.65,2.4
2037,3.66,2.4
2038,3.66,2.4
2039,3.67,2.4
2040,3.64,2.4
2041,3.61,2.4
2042,3.59,2.4
2043,3.57,2.4
2044,3.54,2.4
2045,3.53,2.4
2046,3.51,2.4
2047,3.51,2.4
2048,3.51,2.4
2049,3.51,2.4
2050,3.51,2.4
2051,3.52,2.4
2052,3.52,2.4
2053,3.52,2.4
2054,3.53,2.4
2055,3.52,2.4
2056,3.53,2.4
2057,3.54,2.4
2058,3.55,2.4
2059,3.56,2.4
2060,3.57,2.4
2061,3.57,2.4
2062,3.58,2.4
2063,3.58,2.4
2064,3.58,2.4
2065,3.57,2.4
2066,3.57,2.4
2067,3.57,2.4
2068,3.57,2.4
2069,3.57,2.4
2070,3.57,2.4
2071,3.56,2.4
2072,3.56,2.4
2073,3.55,2.4
2074,3.56,2.4
2075,3.56,2.4
2076,3.56,2.4
2077,3.56,2.4
2078,3.56,2.4
2079,3.56,2.4
2080,3.55,2.4
2081,3.56,2.4
2082,3.56,2.4
2083,3.56,2.4
2084,3.57,2.4
2085,3.57,2.4
2086,3.57,2.4
2087,3.57,2.4
2088,3.56,2.4
2089,3.56,2.4
2090,3.56,2.4
2091,3.55,2.4
2092,3.55,2.4
2093,3.55,2.4
2094,3.55,2.4
2095,3.55,2.4
2096,3.55,2.4
2097,3.54,2.4
2098,3.54,2.4
2099,3.55,2.4
2100,3.54,2.4